"CRUISE_ID","HAUL_ID","CRUISE","VESSEL","HAUL","EDIT_NET_SPREAD","NET_SPREAD_PINGS","NET_SPREAD_METHOD","NET_SPREAD_STANDARD_DEVIATION","EDIT_NET_HEIGHT","NET_HEIGHT_METHOD","NET_HEIGHT_PINGS","NET_HEIGHT_STANDARD_DEVIATION","CREATE_DATE","CREATE_USER"
"767","23168","202401","162","18","14.5008941914171","537","7","1.21004197841135","3.343","6","563","1.09",2024-07-18 09:21:49.108222,"ROHANS"
"767","23169","202401","162","19","15.571840309828","535","7","1.14710657969366","3.817","6","1174","0.7",2024-07-18 09:21:49.108222,"ROHANS"
"767","23170","202401","162","20","13.0988490232221","358","7","1.24240868454246","1.449","6","1104","0.21",2024-07-18 09:21:49.108222,"ROHANS"
"767","23171","202401","162","21","14.313400725255","449","7","1.14504819047349","2.57133333333333","4","99","0.68",2024-07-18 09:21:49.108222,"ROHANS"
"767","23164","202401","162","22","14.8273992327778","441","7","1.24703727005034","2.593","6","268","0.79",2024-07-18 09:21:49.108222,"ROHANS"
"767","23166","202401","162","24","15.20673110572","475","7","1.11939915106368","2.184","6","1849","0.2",2024-07-18 09:21:49.108222,"ROHANS"
"767","23179","202401","162","26","15.5058938784411","263","7","1.37551349786988","1.908","6","947","0.32",2024-07-18 09:21:49.108222,"ROHANS"
"767","23180","202401","162","27","15.8128539344125","280","7","1.28540953851766","1.888","6","788","0.61",2024-07-18 09:21:49.108222,"ROHANS"
"767","23185","202401","162","28","15.9759701394275","386","7","1.22499663082588","1.91","6","1969","0.18",2024-07-18 09:21:49.108222,"ROHANS"
"767","23186","202401","162","29","15.4512087745736","496","7","1.17686501031812","1.999","6","2022","0.17",2024-07-18 09:21:49.108222,"ROHANS"
"767","23187","202401","162","30","15.6249581344248","472","7","1.13913363108126","1.769","6","1811","0.25",2024-07-18 09:21:49.108222,"ROHANS"
"767","23188","202401","162","31","15.721551253649","473","7","1.15951366353586","3.176","6","697","0.86",2024-07-18 09:21:49.108222,"ROHANS"
"767","23191","202401","162","32","15.7692572221356","520","7","1.12815942828297","1.847","6","1537","0.22",2024-07-18 09:21:49.108222,"ROHANS"
"767","23192","202401","162","33","15.3231181412581","372","7","1.10574127572221","2.153","6","853","0.64",2024-07-18 09:21:49.108222,"ROHANS"
"767","23193","202401","162","34","15.3720568164172","435","7","1.20209872089387","2.284","6","582","0.54",2024-07-18 09:21:49.108222,"ROHANS"
"767","23194","202401","162","35","15.9023578747209","387","7","1.17399452131198","2.031","6","352","0.75",2024-07-18 09:21:49.108222,"ROHANS"
"767","23197","202401","162","36","15.972303317028","410","7","1.2548657655081","1.701","6","1336","0.32",2024-07-18 09:21:49.108222,"ROHANS"
"767","23199","202401","162","37","15.6368503378132","380","7","1.32086537721912","2.817","6","349","0.92",2024-07-18 09:21:49.108222,"ROHANS"
"767","23201","202401","162","38","16.0860854086825","337","7","1.38463478479228","2.018","6","474","0.41",2024-07-18 09:21:49.108222,"ROHANS"
